"Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR"
"Knops_2015",2015,25,"25s",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Diptera","Tephritidae","Euaresta","bella","Euaresta_bella","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,2,2,1.41,1,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,2,0.249687796860001,1.41,2,0.693147180559945,0.786231432609545,0.310856495900801,0.343679114141366
"Knops_2015",2015,25,"25t",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Alydidae","Protenor","belfragei","Protenor_belfragei","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,2,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,1,0.499375593720003,0.314665982365308,0.5,-0.693147180559945,-0.674811838281384,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25u",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Miridae","Lygus","lineolaris","Lygus_lineolaris","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,7,2,5.66,4,1.67,3,1.15,0.67,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1.67,7,1.15,5.66,4.19161676646707,1.43308652262665,1.51749991173503,0.484960976885286,0.550883384421431
"Knops_2015",2015,25,"25v",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Miridae","Trigonotylus","coelestialium","Trigonotylus_coelestialium","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,2,2,1.41,1,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,2,0.249687796860001,1.41,2,0.693147180559945,0.786231432609545,0.310856495900801,0.343679114141366
"Knops_2015",2015,25,"25w",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Nabidae","Nabis","americoferus","Nabis_americoferus","Predator","NO","NO",NA,"NO","",40,"Added",NA,400,1.5,4,0.58,0.29,3,3,2,1.15,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",3,1.5,2,0.58,0.5,-0.693147180559945,-0.74853236574513,0.185525925925926,0.197198411961591
"Knops_2015",2015,25,"25x",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Tingidae","Corythucha","marmorata","Corythucha_marmorata","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,1,0.249687796860001,0.314665982365308,1,0,0.0183353422785615,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25y",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,8.33,3,2.89,1.67,95,2,77.78,55,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",95,8.33,77.78,2.89,0.0876842105263158,-2.43401343542179,-2.58153485391816,0.375287179627756,0.432259865341176
"Knops_2015",2015,25,"25z",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cercopidae","Philaenus","bilineatus","Philaenus_bilineatus","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,2.75,4,1.71,0.85,3.33,3,1.15,0.67,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",3.33,2.75,1.15,1.71,0.825825825825826,-0.191371392313873,-0.162916395500863,0.136418931993816,0.141881150089028
"Knops_2015",2015,25,"25aa",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Commellus","comma","Commellus_comma","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,4,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",4,1,0.998751187440006,0.314665982365308,0.25,-1.38629436111989,-1.36795901884133,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25ab",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Doratura","stylata","Doratura_stylata","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,5.25,4,2.99,1.49,3.5,2,3.54,2.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",3.5,5.25,3.54,2.99,1.5,0.405465108108164,0.190262840534468,0.592583219954649,0.726683954066464
"Knops_2015",2015,25,"25ac",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Laevicephalus","unicoloratus","Laevicephalus_unicoloratus","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,7,4,3.65,1.83,4,4,3.46,1.73,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",4,7,3.46,3.65,1.75,0.559615787935423,0.500073632323178,0.25502818877551,0.274833301337992
"Knops_2015",2015,25,"25ad",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Macrosteles","fascifrons","Macrosteles_fascifrons","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,2,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,1,0.499375593720003,0.314665982365308,0.5,-0.693147180559945,-0.674811838281384,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25ae",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Nesosteles","neglectus","Nesosteles_neglectus","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,2,0,0,2.33,3,2.31,1.33,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2.33,1,2.31,0.314665982365308,0.429184549356223,-0.845868267577609,-0.984932313759247,0.3771427728212,0.432040749534424
"Knops_2015",2015,25,"25af",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Quantas","sayi","Quantas_sayi","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,3.5,2,0.71,0.5,2,2,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,3.5,0.499375593720003,0.71,1.75,0.559615787935423,0.554317544062263,0.0517475081544823,0.0524450306926713
"Knops_2015",2015,25,"25ag",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,15.5,4,6.66,3.33,8.25,4,4.72,2.36,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",8.25,15.5,4.72,6.66,1.87878787878788,0.630626823578611,0.61278932399666,0.12798634151562,0.132399643810594
"Knops_2015",2015,25,"25ah",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Cicadellidae","Typhlocyba",NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,2.5,2,0.71,0.5,9.33,3,11.15,6.44,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",9.33,2.5,11.15,0.71,0.267952840300107,-1.3169442829851,-1.53481220144319,0.516391836916185,0.630523399117866
"Knops_2015",2015,25,"25ai",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Delphacidae","Delphacodes",NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,43.75,4,14.36,7.18,35,4,9.97,4.98,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",35,43.75,9.97,14.36,1.25,0.22314355131421,0.226467351722373,0.0472193967346939,0.0477878622408443
"Knops_2015",2015,25,"25aj",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hemiptera","Psyllidae","Aphalara",NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,61,2,32.53,23,8,4,9.9,4.95,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",8,61,9.9,32.53,7.625,2.03143232249348,1.9111030811521,0.525044642317253,0.608441737745557
"Knops_2015",2015,25,"25ak",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA,NA,"Parasitoid","NO","NO",NA,"NO","",40,"Added",NA,400,2,1,0,0,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,2,0.249687796860001,0.629331964730616,2,0.693147180559945,0.711482522838507,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25al",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Diprionidae","Diprion","simile","Diprion_simile","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,4,0,0,2,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,1,0.499375593720003,0.314665982365308,0.5,-0.693147180559945,-0.711942343453105,0.0870976660152824,0.0893474250197902
"Knops_2015",2015,25,"25am",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Encyrtidae",NA,NA,NA,"Parasitoid","NO","NO",NA,"NO","",40,"Added",NA,400,2,1,0,0,1,2,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,2,0.249687796860001,0.629331964730616,2,0.693147180559945,0.727068521813707,0.130186678408325,0.135574478609527
"Knops_2015",2015,25,"25an",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Eulophidae","Tetrastichus",NA,NA,"Parasitoid","NO","NO",NA,"NO","",40,"Added",NA,400,35.75,4,9.95,4.97,32.5,4,10.41,5.2,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",32.5,35.75,10.41,9.95,1.1,0.0953101798043249,0.0921684221633645,0.0450149935938188,0.0455314516469562
"Knops_2015",2015,25,"25ao",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Formicidae","Monomorium","minimum","Monomorium_minimum","Predator","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,3,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",3,1,0.749063390580004,0.314665982365308,0.333333333333333,-1.09861228866811,-1.08027694638955,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25ap",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","parvula","Paratrechina_parvula","Predator","NO","NO",NA,"NO","",40,"Added",NA,400,3.5,2,2.12,1.5,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,3.5,0.249687796860001,2.12,3.5,1.25276296849537,1.31331341952456,0.245788893859985,0.264558296066052
"Knops_2015",2015,25,"25aq",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Platygasteridae",NA,NA,NA,"Parasitoid","NO","NO",NA,"NO","",40,"Added",NA,400,2,1,0,0,2,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,2,0.499375593720003,0.629331964730616,1,0,0.0183353422785615,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25ar",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Hymenoptera","Tiphiidae","Tiphia",NA,NA,"Parasitoid","NO","NO",NA,"NO","",40,"Added",NA,400,1,2,0,0,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,1,0.249687796860001,0.314665982365308,1,0,-0.00641832783591958,0.111851336129763,0.115020211410476
"Knops_2015",2015,25,"25as",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Lepidoptera",NA,NA,NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,1,0.249687796860001,0.314665982365308,1,0,0.0183353422785615,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25at",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Lepidoptera",NA,NA,NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1.5,2,0.71,0.5,1.5,2,0.71,0.5,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1.5,1.5,0.71,0.71,1,0,0,0.224044444444444,0.236593422716049
"Knops_2015",2015,25,"25au",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Lepidoptera","Arctiidae","Holomelina","aurantiaca","Holomelina_aurantiaca","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,1,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1,1,0.249687796860001,0.314665982365308,1,0,0.0183353422785615,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25av",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Lepidoptera","Gelechiidae",NA,NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,4,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",4,1,0.998751187440006,0.314665982365308,0.25,-1.38629436111989,-1.36795901884133,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25aw",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Lepidoptera","Pyralidae","Crambus",NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,2,2,1.41,1,2,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,2,0.499375593720003,1.41,1,0,0.0930842520495993,0.310856495900801,0.343679114141366
"Knops_2015",2015,25,"25ax",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Neuroptera","Chrysopidae",NA,NA,NA,"Predator","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,1.33,3,0.58,0.33,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1.33,1,0.58,0.314665982365308,0.75187969924812,-0.285178942233662,-0.267367382810097,0.162406242068718,0.169317440583538
"Knops_2015",2015,25,"25ay",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","femurrubrum","Melanoplus_femurrubrum","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,5.75,4,6.29,3.15,3,4,2.45,1.22,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",3,5.75,2.45,6.29,1.91666666666667,0.650587566141149,0.716800228922078,0.465897547784079,0.524546795754425
"Knops_2015",2015,25,"25az",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","keeleri","Melanoplus_keeleri","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1.5,2,0.71,0.5,1.33,3,0.58,0.33,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",1.33,1.5,0.58,0.71,1.12781954887218,0.120286165874502,0.144601496180216,0.175413783833016,0.183697518010546
"Knops_2015",2015,25,"25ba",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Conocephalus","saltans","Conocephalus_saltans","Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,4.33,3,3.21,1.86,2,4,0.82,0.41,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,4.33,0.82,3.21,2.165,0.772420361454453,0.843005235167044,0.225219747425182,0.24288295547977
"Knops_2015",2015,25,"25bb",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Conocephalus",NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,1,1,0,0,2,1,0,0,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",2,1,0.499375593720003,0.314665982365308,0.5,-0.693147180559945,-0.674811838281384,0.161358676358726,0.168204016744258
"Knops_2015",2015,25,"25bc",2000,2003,4,1,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta","Thysanoptera",NA,NA,NA,NA,"Herbivore","NO","NO",NA,"NO","",40,"Added",NA,400,3,1,0,0,5,3,3,1.73,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots","","Treatment",5,3,3,0.943997947095924,0.6,-0.510825623765991,-0.521318283537029,0.219014680457924,0.231116633931017
