"Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","yi","vi","ControlYN"
"Wei_et_al_2012",2012,49,"49a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,56.0268,"Added","CO(NH2)2",64,20.14,6,3.061862178,1.25,19.1,6,3.404790742,1.39,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",19.1,20.14,3.404790742,3.061862178,0.0530195522378319,0.00914831297718575,"Treatment"
"Wei_et_al_2012",2012,49,"49a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,112.0536,"Added","CO(NH2)2",64,18.61,6,2.033076487,0.83,19.1,6,3.404790742,1.39,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",19.1,18.61,3.404790742,2.033076487,-0.025989264398425,0.00728531281484296,"Treatment"
"Wei_et_al_2012",2012,49,"49a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,224.1072,"Added","CO(NH2)2",64,17.01,6,2.890397896,1.18,19.1,6,3.404790742,1.39,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",19.1,17.01,3.404790742,2.890397896,-0.115886928644814,0.0101085114207894,"Treatment"
"Wei_et_al_2012",2012,49,"49a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,392.1876,"Added","CO(NH2)2",64,15.49,6,3.404790742,1.39,19.1,6,3.404790742,1.39,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",19.1,15.49,3.404790742,3.404790742,-0.209493680623807,0.0133486079883891,"Treatment"
"Wei_et_al_2012",2012,49,"49a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,560.268,"Added","CO(NH2)2",64,11.88,6,3.894688691,1.59,19.1,6,3.404790742,1.39,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",19.1,11.88,3.404790742,3.894688691,-0.474832021118085,0.0232088945607504,"Treatment"
"Wei_et_al_2012",2012,50,"50a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,56.0268,"Added","CO(NH2)2",64,19.38,6,2.890397896,1.18,21.11,6,2.033076487,0.83,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",21.11,19.38,2.033076487,2.890397896,-0.0855052553976091,0.00525318324998171,"Treatment"
"Wei_et_al_2012",2012,50,"50a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,112.0536,"Added","CO(NH2)2",64,19.72,6,1.200249974,0.49,21.11,6,2.033076487,0.83,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",21.11,19.72,2.033076487,1.200249974,-0.0681135126857399,0.00216331067673501,"Treatment"
"Wei_et_al_2012",2012,50,"50a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,224.1072,"Added","CO(NH2)2",64,16.32,6,2.033076487,0.83,21.11,6,2.033076487,0.83,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",21.11,16.32,2.033076487,2.033076487,-0.257355512324268,0.00413241423390888,"Treatment"
"Wei_et_al_2012",2012,50,"50a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,392.1876,"Added","CO(NH2)2",64,17.57,6,3.061862178,1.25,21.11,6,2.033076487,0.83,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",21.11,17.57,2.033076487,3.061862178,-0.183553959661223,0.00660736211063709,"Treatment"
"Wei_et_al_2012",2012,50,"50a",2006,2009,4,3,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.66100133",116.7137243,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,560.268,"Added","CO(NH2)2",64,18.13,6,3.208831563,1.31,21.11,6,2.033076487,0.83,"FromSE","Modified cotton-wool filter","Individuals/100 gr dry soil",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.7","346.1",7.44,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 2","",21.11,18.13,2.033076487,3.208831563,-0.15217883709347,0.00676681335722143,"Treatment"
